Time,Avg_Latency_ms,Throughput_RPS,Tokens_Lost,Success_Rate
134,2.74,1007.9,0,100.0
134,3.38,1287.1,0,100.0
135,3.13,1229.2,0,100.0
135,2.85,1069.2,0,100.0
136,2.99,1021.7,0,100.0
136,3.13,1355.0,0,100.0
137,2.24,1382.7,0,100.0
137,3.01,1315.2,0,100.0
138,3.66,1044.5,0,100.0
138,3.06,787.0,0,100.0
139,3.02,1440.2,0,100.0
139,3.17,1125.6,0,100.0
140,3.58,1000.5,0,100.0
140,3.23,1270.0,0,100.0
141,2.42,1379.8,0,100.0
141,3.1,1249.3,0,100.0
142,2.07,1852.3,0,100.0
142,2.49,1349.0,0,100.0
143,2.86,1279.3,0,100.0
143,3.39,1246.3,0,100.0
144,3.03,1453.2,0,100.0
144,2.67,1303.7,0,100.0
145,5.06,476.4,0,100.0
145,2.3,1425.9,0,100.0
146,2.53,1417.2,0,100.0
146,3.76,1257.2,0,100.0
147,3.12,1266.4,0,100.0
147,2.96,1331.3,0,100.0
148,2.47,1360.7,0,100.0
148,2.83,1404.9,0,100.0
149,2.95,1174.2,0,100.0
149,2.8,1203.9,0,100.0
150,2.76,1306.0,0,100.0
150,2.95,1240.0,0,100.0
151,3.15,1331.8,0,100.0
151,2.9,1192.9,0,100.0
152,2.77,1405.6,0,100.0
152,2.81,1419.4,0,100.0
153,3.03,1408.0,0,100.0
153,2.81,1329.1,0,100.0
154,2.37,1356.0,0,100.0
154,2.45,1396.0,0,100.0
155,2.82,1242.3,0,100.0
155,3.23,1139.2,0,100.0
156,2.7,1309.5,0,100.0
156,3.26,1492.3,0,100.0
157,2.54,1316.6,0,100.0
157,2.48,1287.7,0,100.0
158,2.99,1151.5,0,100.0
159,3.24,1281.3,0,100.0
159,3.29,1253.4,0,100.0
160,2.82,1314.0,0,100.0
160,2.86,1331.2,0,100.0
161,3.31,1246.8,0,100.0
161,3.61,1293.7,0,100.0
162,2.45,1496.0,0,100.0
162,2.97,1253.6,0,100.0
163,2.36,1606.1,0,100.0
163,2.76,1161.1,0,100.0
164,3.42,1293.5,0,100.0
164,3.33,1167.0,0,100.0
165,3.03,1287.3,0,100.0
165,2.6,1496.3,0,100.0
166,2.85,1340.8,0,100.0
166,3.07,1187.2,0,100.0
167,3.55,1163.2,0,100.0
167,2.74,1226.9,0,100.0
168,3.09,1307.5,0,100.0
168,2.62,1345.8,0,100.0
169,2.71,1167.7,0,100.0
169,3.07,1226.2,0,100.0
170,3.81,1177.3,0,100.0
170,2.84,1461.3,0,100.0
171,2.48,1435.5,0,100.0
171,3.26,1240.1,0,100.0
172,2.87,1342.9,0,100.0
172,3.03,1180.8,0,100.0
173,2.45,1175.7,0,100.0
173,2.4,1363.4,0,100.0
174,3.38,1306.9,0,100.0
174,3.43,1226.1,0,100.0
175,3.3,1187.9,0,100.0
175,2.69,1300.2,0,100.0
176,3.02,1303.4,0,100.0
176,3.12,1370.6,0,100.0
177,2.74,1303.4,0,100.0
177,2.63,1278.8,0,100.0
178,3.31,1160.5,0,100.0
178,2.66,1366.0,0,100.0
179,3.23,1519.5,0,100.0
179,2.32,1318.8,0,100.0
180,3.0,1331.4,0,100.0
180,2.6,1248.2,0,100.0
181,2.9,1427.0,0,100.0
181,2.88,1493.1,0,100.0
182,2.91,1533.6,0,100.0
182,3.73,1255.3,0,100.0
183,2.71,1465.4,0,100.0
183,2.67,1276.8,0,100.0
184,3.41,1147.7,0,100.0
184,3.3,1176.7,0,100.0
185,2.75,1306.1,0,100.0
185,3.38,961.1,0,100.0
186,3.21,1303.8,0,100.0
186,2.25,1543.0,0,100.0
187,3.21,1279.3,0,100.0
188,3.35,1327.0,0,100.0
188,2.72,1297.3,0,100.0
189,3.68,1385.1,0,100.0
189,2.78,1476.9,0,100.0
190,2.91,1034.5,0,100.0
190,2.66,1434.1,0,100.0
191,3.14,1392.0,0,100.0
191,2.51,1425.5,0,100.0
192,3.12,1130.2,0,100.0
192,2.61,1472.9,0,100.0
193,2.9,1427.8,0,100.0
193,2.46,1244.3,0,100.0
194,2.4,1427.9,0,100.0
194,3.05,1330.6,0,100.0
195,3.52,1086.0,0,100.0
195,3.2,1426.5,0,100.0
196,2.55,1331.1,0,100.0
196,3.22,1208.9,0,100.0
197,2.76,1326.4,0,100.0
197,3.23,1185.6,0,100.0
198,3.2,1288.5,0,100.0
198,2.4,1425.3,0,100.0
199,3.71,1232.2,0,100.0
199,2.48,1286.6,0,100.0
200,2.81,1234.8,0,100.0
200,2.9,1426.9,0,100.0
201,2.79,1132.7,0,100.0
201,2.96,1247.3,0,100.0
202,2.64,1409.3,0,100.0
202,2.93,1310.1,0,100.0
203,2.71,1323.3,0,100.0
203,2.49,1285.2,0,100.0
204,2.46,1428.2,0,100.0
204,3.19,1351.9,0,100.0
205,3.02,1338.6,0,100.0
205,3.13,1222.8,0,100.0
206,2.53,1419.2,0,100.0
206,2.76,1410.8,0,100.0
207,3.19,1317.9,0,100.0
207,2.61,1408.4,0,100.0
208,2.9,1427.1,0,100.0
208,2.98,1270.4,0,100.0
209,2.91,1113.5,0,100.0
209,2.81,1166.6,0,100.0
210,4.18,973.6,0,100.0
210,2.8,1426.7,0,100.0
211,3.37,1492.5,0,100.0
211,3.32,1398.9,0,100.0
212,2.6,1379.2,0,100.0
212,2.72,1369.6,0,100.0
213,2.84,1210.7,0,100.0
213,3.59,968.8,0,100.0
214,2.34,1479.3,0,100.0
214,2.9,1427.4,0,100.0
215,3.02,1502.7,0,100.0
216,3.03,1236.5,0,100.0
216,2.68,1518.2,0,100.0
217,2.31,1534.2,0,100.0
217,2.79,1187.1,0,100.0
218,2.95,1210.8,0,100.0
218,3.35,1331.9,0,100.0
219,2.89,1373.7,0,100.0
219,3.15,1194.7,0,100.0
220,3.07,1376.7,0,100.0
220,2.89,1147.8,0,100.0
221,2.92,1261.9,0,100.0
221,3.16,1245.4,0,100.0
222,3.11,1330.9,0,100.0
222,2.86,1172.9,0,100.0
223,2.77,1341.5,0,100.0
223,2.89,1074.0,0,100.0
224,2.0,1481.9,0,100.0
224,2.95,1253.2,0,100.0
225,3.06,1301.4,0,100.0
225,3.11,1330.6,0,100.0
226,2.9,1433.5,0,100.0
226,2.73,1510.9,0,100.0
227,2.97,1291.2,0,100.0
227,3.43,1327.9,0,100.0
228,2.82,1124.7,0,100.0
228,3.28,1136.3,0,100.0
229,2.55,1474.3,0,100.0
229,3.13,1395.2,0,100.0
230,2.83,1182.8,0,100.0
230,2.82,1487.1,0,100.0
231,2.85,1248.3,0,100.0
231,2.77,1385.0,0,100.0
232,2.58,1304.3,0,100.0
232,3.41,1229.2,0,100.0
233,2.75,1374.6,0,100.0
233,2.6,1427.1,0,100.0
234,3.47,1300.4,0,100.0
234,2.5,1403.3,0,100.0
235,3.63,1371.9,0,100.0
235,2.9,1113.5,0,100.0
236,3.5,1331.6,0,100.0
236,3.49,1271.9,0,100.0
237,3.31,1090.9,0,100.0
237,2.89,1492.5,0,100.0
238,2.59,1483.9,0,100.0
238,3.67,1309.7,0,100.0
239,2.72,1413.5,0,100.0
239,2.65,1332.1,0,100.0
240,2.4,1425.7,0,100.0
240,2.51,1188.8,0,100.0
241,2.68,1264.4,0,100.0
241,3.01,1143.2,0,100.0
242,3.2,1249.3,0,100.0
242,2.66,1367.2,0,100.0
